BusinessID,address,businessName,city,cost,img,itemtype,teleNum,type
1091721632-1495646258,朝阳区同志街2742号(西康胡同口),圆缘园时尚餐厅,长春市,40,http://img0.aibangjuxin.com/ipic/cee0d54441b9e163_8.jpg,hotel,0431-85646735 0431-85646736,美食;其他美食
1091726896-1495500980,朝阳区创业大街1447号,长春花园酒店,长春市,0,http://img0.aibangjuxin.com/ipic/bce9be26bb6bb319_8.jpg,live,0431-85988888,宾馆酒店;其他宾馆酒店
1092574752-1497491288,吉林省长春市南关区长春大街1212号,莫泰Motel 168连锁旅店-长春大街店,长春市,0,,live,0431-86020000,宾馆酒店;其他宾馆酒店
1092599584-1495818447,宽城区柳影路462号(近凯旋路),可达酒店,长春市,44,,hotel,0431-82624259,东北菜;美食;婚宴酒店;结婚
1092599696-1495504326,经开区自由大路4487号(近临河街长春海关对面),大华饭店,长春市,0,http://img0.aibangjuxin.com/ipic/524329fa0948f4af_8.jpg,live,0431-84632333 0431-84633636,宾馆酒店;三星级酒店
1092621648-1497491288,建设街,长春丰茂串城(长春分店),长春市,57,http://img0.aibangjuxin.com/ipic/4164ba8104b1f64e_8.jpg,hotel,0431-89816789 0431-89826789,美食;烧烤
1092625152-1497491316,吉林省长春市朝阳区西康胡同百汇街口,泊客宾馆,长春市,0,,live,0431-85610088,宾馆酒店;经济型酒店
1092684064-1495660414,朝阳区同志街(西康路口),味都拉面(同志街店),长春市,29,http://img0.aibangjuxin.com/ipic/5a0b39bd1d4a80e2_8.jpg,hotel,0431-82079385 0431-85661559,美食;日本美食;日本料理
1092877472-1497458827,长春 绿园区 景阳大路2288号 (近春城大街),长春华天大酒店_景阳大路2288号_,长春市,0,,live,,宾馆酒店;其他宾馆酒店
1092992592-1495805219,朝阳区人民大街4501号名门饭店3楼(近隆礼路),红叶日本料理(名门店),长春市,200,http://img0.aibangjuxin.com/ipic/f7fab1c75eaa36f1_8.jpg,hotel,0431-85565166,美食;日本美食;日本料理
1093005600-1494365909,二道区东盛大街(兴隆路口),全安烤鸭店(东盛店),长春市,48,http://img0.aibangjuxin.com/ipic/23a90c890212abe9_8.jpg,hotel,0431-89659568,美食;其他美食
1093007024-1494365909,上海路万晟现代城1号楼(近大马路),长春市泰玖嘉旗假日酒店(泰玖嘉旗酒店),长春市,0,http://img0.aibangjuxin.com/ipic/bef7934307dc5598_8.jpg,live,0431-85079999,宾馆酒店;其他宾馆酒店
